distancia,reflexao
2.769268,51.344
2.774349,51.341
2.779431,51.345
2.784512,51.336
2.789593,51.334
2.794674,51.337
2.799756,51.338
2.804837,51.326
2.809918,51.328
2.814999,51.334
2.82008,51.334
2.825162,51.325
2.830243,51.322
2.835324,51.321
2.840405,51.317
2.845487,51.312
2.850568,51.302
2.855649,51.308
2.86073,51.302
2.865812,51.299
2.870893,51.301
2.875974,51.304
2.881055,51.309
2.886136,51.302
2.891218,51.3
2.896299,51.286
2.90138,51.294
2.906461,51.293
2.911543,51.281
2.916624,51.285
2.921705,51.287
2.926786,51.288
2.931867,51.285
2.936949,51.287
2.94203,51.286
2.947111,51.284
2.952192,51.279
2.957274,51.276
2.962355,51.278
2.967436,51.28
2.972517,51.279
2.977598,51.28
2.98268,51.274
2.987761,51.273
2.992842,51.27
2.997923,51.268
3.003005,51.271
3.008086,51.266
3.013167,51.255
3.018248,51.26
3.02333,51.252
3.028411,51.256
3.033492,51.258
3.038573,51.252
3.043654,51.252
3.048736,51.244
3.053817,51.237
3.058898,51.238
3.063979,51.253
3.069061,51.252
3.074142,51.249
3.079223,51.241
3.084304,51.235
3.089385,51.235
3.094467,51.234
3.099548,51.237
3.104629,51.226
3.10971,51.225
3.114792,51.235
3.119873,51.231
3.124954,51.228
3.130035,51.222
3.135116,51.229
3.140198,51.221
3.145279,51.209
3.15036,51.209
3.155441,51.2
3.160523,51.208
3.165604,51.199
3.170685,51.211
3.175766,51.192
3.180848,51.193
3.185929,51.199
3.19101,51.196
3.196091,51.204
3.201172,51.192
3.206254,51.195
3.211335,51.198
3.216416,51.195
3.221497,51.186
3.226579,51.176
3.23166,51.188
3.236741,51.183
3.241822,51.186
3.246903,51.172
3.251985,51.165
3.257066,51.174
3.262147,51.169
3.267228,51.164
3.27231,51.162
3.277391,51.158
3.282472,51.145
3.287553,51.148
3.292634,51.146
3.297716,51.152
3.302797,51.147
3.307878,51.15
3.312959,51.148
3.318041,51.148
3.323122,51.145
3.328203,51.141
3.333284,51.139
3.338366,51.14
3.343447,51.135
3.348528,51.131
3.353609,51.14
3.35869,51.139
3.363772,51.145
3.368853,51.137
3.373934,51.126
3.379015,51.131
3.384097,51.129
3.389178,51.122
3.394259,51.115
3.39934,51.124
3.404421,51.121
3.409503,51.127
3.414584,51.128
3.419665,51.128
3.424746,51.119
3.429828,51.118
3.434909,51.116
3.43999,51.11
3.445071,51.112
3.450153,51.109
3.455234,51.121
3.460315,51.107
3.465396,51.114
3.470477,51.115
3.475559,51.105
3.48064,51.104
3.485721,51.102
3.490802,51.102
3.495884,51.106
3.500965,51.102
3.506046,51.095
3.511127,51.083
3.516208,51.082
3.52129,51.082
3.526371,51.071
3.531452,51.081
3.536533,51.072
3.541615,51.079
3.546696,51.073
3.551777,51.069
3.556858,51.063
3.561939,51.068
3.567021,51.071
3.572102,51.064
3.577183,51.066
3.582264,51.058
3.587346,51.065
3.592427,51.064
3.597508,51.055
3.602589,51.058
3.607671,51.057
3.612752,51.047
3.617833,51.041
3.622914,51.061
3.627995,51.052
3.633077,51.041
3.638158,51.043
3.643239,51.04
3.64832,51.045
3.653402,51.039
3.658483,51.044
3.663564,51.037
3.668645,51.025
3.673726,51.029
3.678808,51.03
3.683889,51.034
3.68897,51.024
3.694051,51.022
3.699133,51.015
3.704214,51.018
3.709295,51.021
3.714376,51.015
3.719457,51.012
3.724539,50.994
3.72962,51.004
3.734701,51.007
3.739782,51.003
3.744864,51.01
3.749945,51.01
3.755026,51.002
3.760107,50.995
3.765189,51.004
3.77027,50.999
3.775351,51.008
3.780432,50.995
3.785513,50.997
3.790595,50.999
3.795676,50.988
3.800757,50.992
3.805838,50.991
3.81092,50.985
3.816001,50.978
3.821082,50.973
3.826163,50.979
3.831244,50.975
3.836326,50.973
3.841407,50.974
3.846488,50.964
3.851569,50.973
3.856651,50.974
3.861732,50.966
3.866813,50.965
3.871894,50.962
3.876975,50.95
3.882057,50.961
3.887138,50.945
3.892219,50.947
3.8973,50.949
3.902382,50.945
3.907463,50.955
3.912544,50.948
3.917625,50.946
3.922707,50.952
3.927788,50.944
3.932869,50.946
3.93795,50.935
3.943031,50.932
3.948113,50.934
3.953194,50.936
3.958275,50.935
3.963356,50.932
3.968438,50.919
3.973519,50.916
3.9786,50.925
3.983681,50.914
3.988762,50.916
3.993844,50.919
3.998925,50.92
4.004006,50.911
4.009087,50.918
4.014169,50.912
4.01925,50.911
4.024331,50.913
4.029412,50.911
4.034493,50.906
4.039575,50.907
4.044656,50.908
4.049737,50.895
4.054818,50.901
4.0599,50.9
4.064981,50.899
4.070062,50.896
4.075143,50.903
4.080225,50.898
4.085306,50.885
4.090387,50.889
4.095468,50.881
4.100549,50.879
4.105631,50.881
4.110712,50.886
4.115793,50.873
4.120874,50.868
4.125956,50.863
4.131037,50.868
4.136118,50.867
4.141199,50.858
4.14628,50.862
4.151362,50.868
4.156443,50.87
4.161524,50.854
4.166605,50.849
4.171687,50.856
4.176768,50.848
